,bitscore,annotation
LR882969.1|no_gene_name|tblastn_CasPedia,315.9,cas12f
LR882963.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
LR882944.1|no_gene_name|tblastn_CasPedia,307.7,cas12f
LR882952.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
LR882950.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
AJ269505.1|no_gene_name|tblastn_CasPedia,101.3,cas12u
CP026681.1|no_gene_name|tblastn_CasPedia,16.6,cas12u
CP003600.1|no_gene_name|tblastn_CasPedia,609.3,cas12j
KR152226.1|no_gene_name|tblastn_CasPedia,683.1,cas12n
LK056645.1|no_gene_name|tblastn_CasPedia,679.9,cas12n
AP041101.1|no_gene_name|tblastn_CasPedia,680.7,cas12n
AP041099.1|no_gene_name|tblastn_CasPedia,680.7,cas12n
CP186574.1|no_gene_name|tblastn_CasPedia,681.2,cas12n
AP041105.1|no_gene_name|tblastn_CasPedia,679.7,cas12n
CP082332.1|no_gene_name|tblastn_CasPedia,680.0,cas12n
CP171999.1|no_gene_name|tblastn_CasPedia,679.8,cas12n
AP041103.1|no_gene_name|tblastn_CasPedia,679.8,cas12n
KJ599675.1|no_gene_name|tblastn_CasPedia,679.8,cas12n
CP025617.1|no_gene_name|tblastn_CasPedia,677.0,cas12n
CP003081.1|no_gene_name|tblastn_CasPedia,718.4,cas12f
OV024757.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP050120.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038979.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP068791.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP015081.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP050116.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
AE000513.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP094462.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038991.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038975.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038663.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP150840.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
AB016803.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038987.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP038983.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP031500.1|no_gene_name|tblastn_CasPedia,245.8,cas12f
CP182823.1|no_gene_name|tblastn_CasPedia,241.4,cas12f
CP115166.1|no_gene_name|tblastn_CasPedia,240.6,cas12f
CP097156.1|no_gene_name|tblastn_CasPedia,232.9,cas12f
CP097151.1|no_gene_name|tblastn_CasPedia,173.8,cas12n
MK005756.1|no_gene_name|tblastn_CasPedia,79.4,cas12f
CP016072.1|no_gene_name|tblastn_CasPedia,441.5,cas12f
CP120056.1|no_gene_name|tblastn_CasPedia,441.6,cas12f
CP128238.1|no_gene_name|tblastn_CasPedia,441.6,cas12f
CP119996.1|no_gene_name|tblastn_CasPedia,440.5,cas12f
LR134263.1|no_gene_name|tblastn_CasPedia,440.2,cas12f
CP110420.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
CP174105.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
CP174104.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
CP001666.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
CP174102.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
BK010482.1|no_gene_name|,437.6,cas12f
CP012395.1|no_gene_name|tblastn_CasPedia,465.2,cas12f
CP174103.1|no_gene_name|tblastn_CasPedia,463.6,cas12f
CP019646.1|no_gene_name|tblastn_CasPedia,1443.0,cas12a
AP018280.1|no_gene_name|tblastn_CasPedia,943.5,cas12j
CP108613.1|no_gene_name|tblastn_CasPedia,81.7,cas12f
CP109154.1|no_gene_name|tblastn_CasPedia,341.0,cas12f
no_accession_number14|Cas12k|tblastn_CasPedia,998.6,cas12a
no_accession_number15|Cas12u|tblastn_CasPedia,306.6,cas12f
CP010995.1|no_gene_name|tblastn_CasPedia,253.8,cas12f
CP140614.1|no_gene_name|tblastn_CasPedia,254.1,cas12f
KJ139744.1|no_gene_name|tblastn_CasPedia,188.3,cas12f
CP195152.1|no_gene_name|tblastn_CasPedia,191.9,cas12f
CP091284.1|no_gene_name|tblastn_CasPedia,187.5,cas12f
CP065936.1|no_gene_name|tblastn_CasPedia,191.9,cas12f
CP046703.1|no_gene_name|tblastn_CasPedia,186.0,cas12f
AP018269.1|no_gene_name|tblastn_CasPedia,176.9,cas12f
CP040297.1|no_gene_name|tblastn_CasPedia,191.2,cas12f
AP018227.1|no_gene_name|tblastn_CasPedia,970.7,cas12j
CP000806.1|no_gene_name|tblastn_CasPedia,911.8,cas12j
CP023510.1|no_gene_name|tblastn_CasPedia,795.8,cas12n
AP014938.1|no_gene_name|tblastn_CasPedia,793.5,cas12n
CP061536.1|no_gene_name|tblastn_CasPedia,795.9,cas12n
BK049906.1|no_gene_name|tblastn_CasPedia,594.8,cas12n
CP067097.1|no_gene_name|tblastn_CasPedia,1396.7,cas12b
CP002404.1|no_gene_name|tblastn_CasPedia,485.6,cas12f
BK051019.1|no_gene_name|tblastn_CasPedia,1447.3,cas12a
OZ245371.1|no_gene_name|tblastn_CasPedia,831.9,cas12j
no_accession_number16|Cas12k|tblastn_CasPedia,1652.7,cas12a
AP018184.1|no_gene_name|tblastn_CasPedia,528.4,cas12j
MK005753.1|no_gene_name|tblastn_CasPedia,28.1,cas12f
no_accession_number17|Cas12a|tblastn_CasPedia,1286.1,cas12a
CP048105.1|no_gene_name|tblastn_CasPedia,1287.3,cas12a
CP068729.1|no_gene_name|tblastn_CasPedia,1284.7,cas12a
no_accession_number18|Cas12k|tblastn_CasPedia,1239.5,cas12a
MZ493918.1|no_gene_name|tblastn_CasPedia,1432.6,cas12a
KY985374.1|no_gene_name|tblastn_CasPedia,1432.6,cas12a
no_accession_number19|Cas12a|tblastn_CasPedia,1432.6,cas12a
MW477885.1|no_gene_name|tblastn_CasPedia,1432.6,cas12a
AP031434.1|no_gene_name|tblastn_CasPedia,1431.1,cas12a
CP079201.1|no_gene_name|tblastn_CasPedia,712.2,cas12n
CP178332.1|no_gene_name|tblastn_CasPedia,711.3,cas12n
CP054018.1|no_gene_name|tblastn_CasPedia,711.3,cas12n
AP017895.1|no_gene_name|tblastn_CasPedia,705.6,cas12n
CP068102.1|no_gene_name|tblastn_CasPedia,705.6,cas12n
CP178325.1|no_gene_name|tblastn_CasPedia,760.8,cas12n
BK022234.1|no_gene_name|tblastn_CasPedia,451.8,cas12f
JF699753.1|no_gene_name|,640.9,cas12f
CP109996.1|no_gene_name|tblastn_CasPedia,1632.2,cas12a
CP091285.1|no_gene_name|tblastn_CasPedia,1632.2,cas12a
MK005754.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP014331.1|no_gene_name|tblastn_CasPedia,480.6,cas12f
AP014508.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP007141.1|no_gene_name|tblastn_CasPedia,126.7,cas12f
CP000969.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP000702.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP003409.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP003925.1|no_gene_name|tblastn_CasPedia,596.7,cas12n
CP036523.1|no_gene_name|tblastn_CasPedia,475.0,cas12f
CP140707.1|no_gene_name|tblastn_CasPedia,469.0,cas12f
CP066811.1|no_gene_name|tblastn_CasPedia,469.0,cas12f
MW766352.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MW584250.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW584264.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
no_accession_number20|Cas12a|tblastn_CasPedia,1496.7,cas12a
OR142980.1|no_gene_name|tblastn_CasPedia,1496.5,cas12a
ON417754.1|no_gene_name|tblastn_CasPedia,1496.7,cas12a
MW766349.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MW584247.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW584246.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW584266.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
OQ870304.1|no_gene_name|tblastn_CasPedia,1496.7,cas12a
MW584249.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW766351.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MW584248.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW584262.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW584243.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MW584244.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW766350.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MW584265.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
MW477886.1|no_gene_name|tblastn_CasPedia,1496.8,cas12a
no_accession_number21|Cas12a|tblastn_CasPedia,1496.5,cas12a
MW584245.1|no_gene_name|tblastn_CasPedia,1492.2,cas12a
MZ222246.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
KY985375.1|no_gene_name|tblastn_CasPedia,1496.7,cas12a
MW584263.1|no_gene_name|tblastn_CasPedia,1491.7,cas12a
OR262463.1|no_gene_name|tblastn_CasPedia,1495.5,cas12a
CP084098.1|no_gene_name|tblastn_CasPedia,416.0,cas12j
CP003945.1|no_gene_name|tblastn_CasPedia,1034.4,cas12j
CP042326.1|no_gene_name|tblastn_CasPedia,994.6,cas12j
MK005758.1|no_gene_name|tblastn_CasPedia,1443.2,cas12b
AP019732.1|no_gene_name|tblastn_CasPedia,291.3,cas12f
CP009340.1|no_gene_name|tblastn_CasPedia,291.3,cas12f
AP018444.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP076165.1|no_gene_name|,200.5,cas12f
no_accession_number22|Cas12a|tblastn_CasPedia,1458.0,cas12a
no_accession_number23|Cas12a|tblastn_CasPedia,1539.0,cas12a
MK005751.1|no_gene_name|tblastn_CasPedia,675.6,cas12f
no_accession_number24|Cas12k|tblastn_CasPedia,666.6,cas12f
CP019633.1|no_gene_name|tblastn_CasPedia,1320.7,cas12a
CP184257.1|no_gene_name|tblastn_CasPedia,582.5,cas12f
CP022406.1|no_gene_name|tblastn_CasPedia,499.2,cas12f
CP121697.1|no_gene_name|tblastn_CasPedia,499.3,cas12f
CP013241.1|no_gene_name|tblastn_CasPedia,499.3,cas12f
AB855771.1|no_gene_name|tblastn_CasPedia,500.5,cas12f
CP013684.1|no_gene_name|tblastn_CasPedia,494.8,cas12f
CP013700.1|no_gene_name|tblastn_CasPedia,494.4,cas12f
CP013857.1|no_gene_name|tblastn_CasPedia,463.0,cas12f
CP015706.1|no_gene_name|tblastn_CasPedia,161.9,cas12f
CP002351.1|no_gene_name|tblastn_CasPedia,48.7,cas12f
CP003591.1|no_gene_name|tblastn_CasPedia,647.0,cas12j
CP067069.1|no_gene_name|tblastn_CasPedia,475.8,cas12f
CP040272.1|no_gene_name|tblastn_CasPedia,723.0,cas12k
no_accession_number25|Cas12a|tblastn_CasPedia,1820.8,cas12a
no_accession_number26|Cas12a|tblastn_CasPedia,1820.8,cas12a
MF287367.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
MF193599.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
MN887111.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
OM964488.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
MT861051.2|no_gene_name|tblastn_CasPedia,1820.8,cas12a
no_accession_number27|Cas12m|tblastn_CasPedia,1820.8,cas12a
no_accession_number28|Cas12m|tblastn_CasPedia,1820.8,cas12a
KY985376.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
MW471125.1|no_gene_name|tblastn_CasPedia,1820.8,cas12a
CP009653.1|no_gene_name|tblastn_CasPedia,1813.7,cas12a
CP010103.1|no_gene_name|tblastn_CasPedia,1813.7,cas12a
CP009353.1|no_gene_name|tblastn_CasPedia,1813.7,cas12a
CP002557.1|no_gene_name|tblastn_CasPedia,1812.0,cas12a
CP021490.1|no_gene_name|tblastn_CasPedia,1814.1,cas12a
CP016635.1|no_gene_name|tblastn_CasPedia,1806.1,cas12a
CP018093.1|no_gene_name|tblastn_CasPedia,1746.7,cas12a
CP009444.1|no_gene_name|tblastn_CasPedia,1146.7,cas12a
CP009343.1|no_gene_name|tblastn_CasPedia,987.1,cas12a
